Headword,Definition,Part of Speech,Semantic Group,Frequency Rank
fīlia -ae f.; fīlius -ī m.,daughter; son,Noun: 1st Declension,The Household,909.00
fingō fingere fīnxī fīctum,shape; invent,Verb: 3rd Conjugation -ō,Making/Doing,721.00
fīnis -is m.,"end, boundary",Noun: 3rd Declension,Geography,236.00
fīō fierī factus sum,"become, happen, be done",Verb: Irregular,Life and Being,146.00
flamma -ae f.,"flame, fire",Noun: 1st Declension,Air and Fire,298.00
fleō flēre flēvī flētum,weep,Verb: 2nd Conjugation,Emotions,457.00
flōs flōris m.,"flower, bloom",Noun: 3rd Declension,Animals/Plants,818.00
fluctus -ūs m,"flood, billow, surf",Noun: 4th Declension,Earth and Water,498.00
flūmen -inis n.,"stream, river",Noun: 3rd Declension,Earth and Water,283.00
fluō fluere fluxī fluxum,flow,Verb: 3rd Conjugation -ō,Earth and Water,772.00
foedus -a -um,foul,Adjective: 1st and 2nd Declension,Other Senses,922.00
fōns fontis m.,"spring, fountain",Noun: 3rd Declension,Earth and Water,706.00
for fārī fātus sum,"report, say",Verb: Deponent,Speech/Oratory,739.00
fōrma -ae f.,shape; beauty,Noun: 1st Declension,Other Senses,422.00
fors fortis f.,chance,Noun: 3rd Declension,Religion,993.00
"forsitan, fortasse","perhaps, perchance",Adverb,Conjunctions/Adverbs,833.00
forte,by chance,Adverb,Religion,579.00
fortis -e,brave,Adjective: 3rd Declension,Personality Traits/Characteristics,286.00
fortūna -ae f.,fortune,Noun: 1st Declension,Religion,138.00
forum -ī n.,"market-place, forum",Noun: 2nd Declension,The City,811.00
frangō frangere frēgī frāctum,"break, shatter",Verb: 3rd Conjugation -ō,Violence,345.00
frāter frātris m.,brother,Noun: 3rd Declension,The Household,225.00
frequēns -ntis,"in large numbers, often",Adjective: 3rd Declension,Measurement,918.00
frōns frontis f.,"forehead, brow; front",Noun: 3rd Declension,The Body,559.00
frūctus -ūs m.,"fruit, crops; enjoyment, delight",Noun: 4th Declension,Animals/Plants,927.00
frūmentum -ī n.,grain,Noun: 2nd Declension,Animals/Plants,936.00
fruor fruī frūctus sum,"enjoy the produce of, profit by, use (+ abl.)",Verb: Deponent,Emotions,923.00
frūstrā,in vain,Adverb,Conjunctions/Adverbs,694.00
fuga -ae f.,"flight, route",Noun: 1st Declension,Travel,364.00
fugiō fugere fūgī fugitum,"flee, escape",Verb: 3rd Conjugation -iō,Travel,177.00
fugō -āre,put to flight,Verb: 1st Conjugation,Travel,957.00
fundō fundere fūdī fūsum,"pour, scatter",Verb: 3rd Conjugation -ō,Earth and Water,523.00
fūnus fūneris n.,funeral; death; dead body,Noun: 3rd Declension,Religion,524.00
furor -ōris m.,"rage, fury",Noun: 3rd Declension,Emotions,466.00
fore,,Verb: Irregular,Life and Being,985.00
gaudeō gaudēre gāvīsus sum,rejoice,Verb: 2nd Conjugation,Emotions,407.00
gaudium -ī n.,"delight, joy, pleasure",Noun: 2nd Declension,Emotions,727.00
gēns gentis f.,"family, clan",Noun: 3rd Declension,The Household,194.00
genus generis n.,"origin, lineage, kind",Noun: 3rd Declension,The Household,170.00
gerō gerere gessī gestum,"bear, manage; bellum gerere, wage war",Verb: 3rd Conjugation -ō,War and Peace,237.00
gīgnō gīgnere genuī genitum,"beget, bear, bring forth",Verb: 3rd Conjugation -ō,Life and Being,667.00
gladius -ī m.,sword,Noun: 2nd Declension,War and Peace,862.00
glōria -ae f.,"glory, fame",Noun: 1st Declension,Social Life,360.00
gradus -ūs m.,"step, pace; grade, rank",Noun: 4th Declension,War and Peace,577.00
grātia -ae f.,"favor, influence, gratitude",Noun: 1st Declension,Social Life,380.00
grātus -a -um,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434.00
gravis -e,"heavy, serious",Adjective: 3rd Declension,Measurement,140.00
habeō habēre habuī habitum,"have, hold",Verb: 2nd Conjugation,Other Senses,39.00
haud,not,Adverb,Conjunctions/Adverbs,226.00
hic haec hoc,"this, these",Pronoun,Pronouns/Interrogatives,7.00
hīc,here; hinc: from here,Adverb,Place,80.00
hiems hiemis f.,winter,Noun: 3rd Declension,Lengths of Time,803.00
hodiē,today,Adverb,Lengths of Time,981.00
homō hominis m.,human being,Noun: 3rd Declension,People,88.00
honestus -a -um,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580.00
honor -ōris m.,"honor, glory; office, post",Noun: 3rd Declension,The City,290.00
hōra -ae f.,hour,Noun: 1st Declension,Lengths of Time,664.00
hortor hortārī hortātus sum,"urge strongly, advise, exhort",Verb: Deponent,Speech/Oratory,887.00
hospes hospitis m.,"guest, guest-friend; stranger; host",Noun: 3rd Declension,Social Life,873.00
hostis -is m./f.,"stranger, enemy",Noun: 3rd Declension,War and Peace,93.00
hūc,to this place,Adverb,Place,368.00
hūmānus -a -um,human,Adjective: 1st and 2nd Declension,People,355.00
humus -ī f.,ground; humī: on the ground,Noun: 2nd Declension,Earth and Water,740.00
iaceō iacēre iacuī,lie,Verb: 2nd Conjugation,The House,228.00
iaciō iacere iēcī iactum,"throw, hurl",Verb: 3rd Conjugation -iō,Athletics,899.00
iam,now; already,Adverb,Time,34.00
ibi,there,Adverb,Place,619.00
īctus -ūs m.,"blow, stroke",Noun: 4th Declension,Violence,819.00
īdem eadem idem,the same,Pronoun,Pronouns/Interrogatives,59.00
ideō,for this reason,Adverb,Conjunctions/Adverbs,679.00
igitur,therefore,Conjunction,Conjunctions/Adverbs,313.00
ignis -is m.,fire,Noun: 3rd Declension,Air and Fire,151.00
ille illa illud,that,Pronoun,Pronouns/Interrogatives,8.00
illīc,"at that place, there; illinc: from that place",Adverb,Place,396.00
illūc,to that place,Adverb,Place,955.00
imāgō -inis f.,"image, form, figure",Noun: 3rd Declension,Vision,754.00
imperātor -ōris m.,commander,Noun: 3rd Declension,War and Peace,723.00
imperium -ī n.,"command, power",Noun: 2nd Declension,War and Peace,200.00
imperō -āre,"command, control",Verb: 1st Conjugation,War and Peace,602.00
impetus -ūs m.,attack,Noun: 4th Declension,Violence,421.00
impleō -ēre -plēvī -plētum,"fill in, fill up",Verb: 2nd Conjugation,Earth and Water,671.00
impōnō -ere -posuī -positum,"put in, put on, impose, levy upon",Verb: 3rd Conjugation -ō,Measurement,437.00
in,"in, on (+ abl.); into, onto (+ acc)",Preposition,Place,5.00
incidō incidere incidī,"fall upon, fall into; happen",Verb: 3rd Conjugation -ō,Motion,871.00
incipiō -cipere -cēpī -ceptum,begin,Verb: 3rd Conjugation -iō,Time,411.00
inde,"from there, from then",Adverb,Place,328.00
indicō -āre,"point out, show, make known",Verb: 1st Conjugation,Speech/Oratory,980.00
īnferō īnferre intulī illātum,"bring upon, against; bellum īnferre: make war on",Verb: Irregular,War and Peace,742.00
īnferus -a -um,low; īnferior: lower; īnfimus or īmus: lowest,Adjective: 1st and 2nd Declension,Geography,428.00
ingenium -ī n.,"disposition, ability, talent",Noun: 2nd Declension,Education/Knowledge,387.00
ingēns ingentis,"huge, enormous",Adjective: 3rd Declension,Measurement,202.00
ingrātus -a -um:,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592.00
ingredior -gredī -gressus sum:,"step in, enter",Verb: Deponent,Motion,885.00
inimīcus -a -um:,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,952.00
initium -ī n.:,beginning,Noun: 2nd Declension,Time,865.00
iniūria -ae f.:,"injustice, wrong, affront",Noun: 1st Declension,Justice,381.00
"inquam, inquis, inquit, inquiunt:",say (used with direct speech),Verb: Irregular,Speech/Oratory,163.00
īnstituō -stituere -stituī -stitūtum:,undertake; equip,Verb: 3rd Conjugation -ō,Making/Doing,931.00
īnsula -ae f.:,island,Noun: 1st Declension,Geography,908.00
integer -gra -grum:,"untouched, fresh, complete, whole",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,815.00
intellegō -legere -lēxī -lēctum:,understand,Verb: 3rd Conjugation -ō,Education/Knowledge,512.00
intendō -tendere -tendī -tentum:,"stretch out, strain",Verb: 3rd Conjugation -ō,Motion,895.00
inter,"between, among; during (+ acc.)",Preposition,Place,64.00
interficiō -ficere -fēcī -fectum,kill,Verb: 3rd Conjugation -iō,Violence,699.00
interim,meanwhile,Adverb,Time,693.00
interrogō -āre,"put a question to, ask (+ acc.)",Verb: 1st Conjugation,Speech/Oratory,953.00
intersum -esse -fuī,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)",Verb: Irregular,Place,760.00
intrā,within (+ acc.),Preposition,Place,704.00
intrō -āre,enter,Verb: 1st Conjugation,Motion,766.00
inveniō -venīre -vēnī -ventum,find; discover,Verb: 4th Conjugation,Travel,316.00
invidia -ae f.,"envy, jealousy, hatred",Noun: 1st Declension,Emotions,707.00
ipse ipsa ipsum,him- her- itself,Pronoun,Pronouns/Interrogatives,22.00
īra irae f.,"wrath, anger",Noun: 1st Declension,Emotions,187.00
īrāscor īrāscī īrātus sum,grow angry; īrātus -a -um: angry,Verb: Deponent,Emotions,809.00
is ea id,"he, she, it",Pronoun,Pronouns/Interrogatives,13.00
iste ista istud,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there",Pronoun,Pronouns/Interrogatives,81.00
ita,"thus, so",Adverb,Conjunctions/Adverbs,120.00
itaque,"and so, therefore",Conjunction,Conjunctions/Adverbs,208.00
item,likewise,Adverb,Conjunctions/Adverbs,932.00
iter itineris n.,"journey, route",Noun: 3rd Declension,Travel,230.00
iterum,again,Adverb,Time,758.00
iubeō iubēre iussī iussum,"bid, order",Verb: 2nd Conjugation,Justice,84.00
iūdex iūdicis m.,"judge, juror",Noun: 3rd Declension,Justice,839.00
iūdicium -ī n.,"judgment, decision, trial",Noun: 2nd Declension,Justice,749.00
iūdicō -āre,"judge, decide",Verb: 1st Conjugation,Justice,565.00
iugum -ī n.,"yoke; ridge, chain of hills",Noun: 2nd Declension,Animals/Plants,335.00
iungō iungere iūnxī iūnctum,join,Verb: 3rd Conjugation -ō,Making/Doing,513.00
iūrō -āre,"take an oath, swear; iūs iūrandum, oath",Verb: 1st Conjugation,Justice,896.00
iūs iūris n.,"right, justice, law",Noun: 3rd Declension,Justice,314.00
iūstus -a -um,"right, just, fair",Adjective: 1st and 2nd Declension,Justice,770.00
iuvenis -is m.,youth,Noun: 3rd Declension,People,277.00
iuvō iuvāre iūvī iūtum,"help, assist; please, delight",Verb: 1st Conjugation,Social Life,390.00
labor -ōris m.,"toil, exertion",Noun: 3rd Declension,Business/Money,201.00
labōrō -āre,"toil, work; be in trouble or distress",Verb: 1st Conjugation,Business/Money,900.00
lacrima -ae f.,tear,Noun: 1st Declension,Emotions,354.00
laedō laedere laesī laesum,"injure by striking, hurt",Verb: 3rd Conjugation -ō,Violence,783.00
laetus -a -um,"glad, joyful",Adjective: 1st and 2nd Declension,Emotions,262.00
lapis lapidis m.,stone,Noun: 3rd Declension,Earth and Water,840.00
lateō latēre latuī,"lie hidden, be hidden",Verb: 2nd Conjugation,Deception,695.00
latus -eris n.,"side, flank",Noun: 3rd Declension,The Body,382.00
lātus -a -um,"broad, wide",Adjective: 1st and 2nd Declension,Measurement,824.00
laudō -āre,praise,Verb: 1st Conjugation,Social Life,435.00
laus laudis f.,"praise, glory",Noun: 3rd Declension,Social Life,444.00
lēgātus -ī m.,"lieutenant, envoy",Noun: 2nd Declension,War and Peace,464.00
legiō -ōnis f.,legion,Noun: 3rd Declension,War and Peace,370.00
legō legere lēgī lēctum,"gather, choose, read",Verb: 3rd Conjugation -ō,Writing/Poetry,419.00
levis -e,"light, trivial",Adjective: 3rd Declension,Measurement,220.00
lēx lēgis f.,law,Noun: 3rd Declension,Justice,264.00
liber librī m.,book,Noun: 2nd Declension,Writing/Poetry,901.00
līber lībera līberum,free; līberī (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229.00
lībertās -ātis f.,freedom,Noun: 3rd Declension,The City,495.00
libet libēre libuit or libitum est,it is pleasing (+ dat. + infin.),Verb: Impersonal,Social Life,729.00
libīdō -inis f.,"passion, lust",Noun: 3rd Declension,Love,761.00
licet licēre licuit licitum est,it is permitted (+ dat. + infin.),Verb: Impersonal,Justice,175.00
licet,even though,Conjunction,Justice,778.00
līmen līminis n.,threshold,Noun: 3rd Declension,The House,516.00
lingua -ae f.,tongue; language,Noun: 1st Declension,The Body,732.00
littera -ae f.,"letter, (pl.) literature",Noun: 1st Declension,Writing/Poetry,710.00
lītus -oris n.,shore,Noun: 3rd Declension,Geography,245.00
locus -ī m.,place; loca (n. pl.) region,Noun: 2nd Declension,Geography,62.00
longē,"far, far off",Adverb,Measurement,400.00
longus -a -um,"long, far",Adjective: 1st and 2nd Declension,Measurement,142.00
loquor loquī locūtus sum,"speak, talk",Verb: Deponent,Speech/Oratory,310.00
lūmen luminis n.,light,Noun: 3rd Declension,Vision,375.00
lūna -ae f.,moon,Noun: 1st Declension,Air and Fire,902.00
lūx lūcis f.,light of day,Noun: 3rd Declension,Air and Fire,299.00
maestus -a -um,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions,669.00
magis,more,Adverb,Conjunctions/Adverbs,90.00
magister magistrī m.,"master, chief",Noun: 2nd Declension,Education/Knowledge,933.00
māgnitūdō -inis f.,"greatness, size",Noun: 3rd Declension,Measurement,672.00
māgnus -a -um,great,Adjective: 1st and 2nd Declension,Measurement,25.00
māiōrēs māiōrum m.,ancestors,Noun: 3rd Declension,The Household,764.00
male,(adv.) badly,Adverb,Personality Traits/Characteristics,603.00
mālō mālle māluī,prefer,Verb: Irregular,Emotions,598.00
malus -a -um,"bad, evil",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227.00
maneō manēre mānsī mānsum,remain,Verb: 2nd Conjugation,Travel,357.00
manus -ūs f.,hand; band of men,Noun: 4th Declension,The Body,48.00
mare -is n.,sea,Noun: 3rd Declension,Earth and Water,125.00
marītus -ī m.,husband,Noun: 2nd Declension,The Household,654.00
māter mātris f.,mother,Noun: 3rd Declension,The Household,127.00
māteria -ae f.,"material, subject matter; timber, lumber",Noun: 1st Declension,Speech/Oratory,857.00
medius -a -um,"middle, central",Adjective: 1st and 2nd Declension,Place,162.00
membrum -ī n.,"limb, member of the body",Noun: 2nd Declension,The Body,481.00
meminī meminisse,"remember, recollect",Verb: Irregular,Education/Knowledge,670.00
memoria -ae f.,"recollection, memory",Noun: 1st Declension,Education/Knowledge,627.00
mēns mentis f.,mind,Noun: 3rd Declension,The Body,173.00
mēnsa -ae f.,table,Noun: 1st Declension,The House,747.00
mereō merēre meruī meritum,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,Business/Money,852.00
metuō metuere metuī,"to fear, to dread",Verb: 3rd Conjugation -ō,Emotions,429.00
metus -ūs m.,"fear, dread",Noun: 4th Declension,Emotions,215.00
meus -a -um,my,Pronoun,Pronouns/Interrogatives,41.00
mīles -itis m.,soldier,Noun: 3rd Declension,War and Peace,161.00
mīlle (pl.) mīlia,thousand,Adjective: Numeral,Measurement,247.00
mīror mīrārī mīrātus sum,"wonder at, marvel at (+ acc.)",Verb: Deponent,Emotions,504.00
misceō miscēre miscuī mixtum,mix,Verb: 2nd Conjugation,Earth and Water,425.00
miser misera miserum,"wretched, pitiable",Adjective: 1st and 2nd Declension,Emotions,137.00
mittō mittere mīsī missum,"send, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,114.00
modo,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes",Adverb,Time,152.00
modus -ī m.,"measure, manner, kind",Noun: 2nd Declension,Measurement,195.00
moenia -ium n. pl.,"walls, fortifications",Noun: 3rd Declension,The City,593.00
mollis -e,"soft, yielding, gentle",Adjective: 3rd Declension,Other Senses,356.00
moneō monēre monuī monitum,"warn, advise",Verb: 2nd Conjugation,Speech/Oratory,711.00
mōns montis m.,mountain,Noun: 3rd Declension,Geography,242.00
mora -ae f.,"delay, hindrance",Noun: 1st Declension,Time,399.00
morbus -ī m.,"sickness, disease",Noun: 2nd Declension,The Body,658.00
morior morī mortuus sum,die,Verb: Deponent,Life and Being,253.00
moror morārī morātus sum,delay,Verb: Deponent,Time,581.00
mors mortis f.,death,Noun: 3rd Declension,Life and Being,95.00
mortālis -e,"liable to death, mortal; (as subst.) a mortal",Adjective: 3rd Declension,Life and Being,950.00
mōs mōris m.,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life,181.00
moveō -ēre mōvī mōtum,move,Verb: 2nd Conjugation,Motion,192.00
mox,soon,Adverb,Time,469.00
mulier -eris f.,woman,Noun: 3rd Declension,People,961.00
multitūdō -inis f.,"multitude, number",Noun: 3rd Declension,Measurement,733.00
multus -a -um,"much, many; multō, by far",Adjective: 1st and 2nd Declension,Measurement,43.00
mundus -ī m.,"world, universe, heavens",Noun: 2nd Declension,Earth and Water,350.00
mundus -a -um,"clean, neat, elegant",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997.00
mūnus mūneris n.,"gift, offering; duty, obligation; (pl.) gladiatorial show",Noun: 3rd Declension,Social Life,276.00
mūrus -ī m.,wall,Noun: 2nd Declension,The House,508.00
mūtō -āre,change,Verb: 1st Conjugation,Making/Doing,315.00
nam or namque,"for, indeed, really",Conjunction,Conjunctions/Adverbs,61.00
narrō -āre,"relate, recount",Verb: 1st Conjugation,Speech/Oratory,910.00
nāscor nāscī nātus sum,be born,Verb: Deponent,Life and Being,266.00
nātūra -ae f.,nature,Noun: 1st Declension,Life and Being,180.00
nātus -ī m.,son,Noun: 2nd Declension,The Household,211.00
nāvis -is f.,ship,Noun: 3rd Declension,Travel,353.00
ne (enclitic),interrogative particle attached to the emphatic word in a question,Adverb,Pronouns/Interrogatives,238.00
nē,"lest, that not",Conjunction,Conjunctions/Adverbs,47.00
nec,"and not, nor; nec ... nec, neither ... nor; → neque",Conjunction,Conjunctions/Adverbs,19.00
necesse (indecl. adj.),necessary,Adjective: Indeclinable,Business/Money,773.00
necessitās -tātis f.,"necessity, need",Noun: 3rd Declension,Business/Money,911.00
nefās n. indecl.,"impiety, wickedness",Noun: Indeclinable,Justice,541.00
negō -āre,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory,294.00
negōtium -ī n.,business,Noun: 2nd Declension,Business/Money,846.00
nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)",Pronoun,Pronouns/Interrogatives,179.00
nemus nemoris n.,"grove, forest",Noun: 3rd Declension,Animals/Plants,461.00
neque,"and not, nor; neque ... neque, neither ... nor; → nec",Conjunction,Conjunctions/Adverbs,72.00
nesciō -scīre,"not know, be ignorant",Verb: 4th Conjugation,Education/Knowledge,525.00
"nisi, nī","if not, unless",Conjunction,Conjunctions/Adverbs,100.00
niger nigra nigrum,black,Adjective: 1st and 2nd Declension,Vision,634.00
"nihil, nīl",nothing; not at all,Noun: Indeclinable,Measurement,55.00
nimis or nimium,excessively,Adverb,Personality Traits/Characteristics,841.00
nimius -a -um,"too much, excessive",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502.00
nōbilis -e,"distinguished, noble; (as subst.) a nobleman or woman",Adjective: 3rd Declension,Personality Traits/Characteristics,455.00
noceō nocēre nocuī,harm,Verb: 2nd Conjugation,Violence,509.00
nōlō nōlle nōluī,be unwilling,Verb: Irregular,Emotions,458.00
nōmen -inis n.,name,Noun: 3rd Declension,Social Life,135.00
nōn,not,Adverb,Conjunctions/Adverbs,6.00
nōndum,not yet,Adverb,Conjunctions/Adverbs,436.00
nōs nostrum/nostrī nōbīs nōs,we,Pronoun,Pronouns/Interrogatives,51.00
nōscō nōscere nōvī nōtum,"learn, know",Verb: 3rd Conjugation -ō,Education/Knowledge,347.00
noster nostra nostrum,our,Pronoun,Pronouns/Interrogatives,52.00
nōtus -a -um,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477.00
novus -a -um,new,Adjective: 1st and 2nd Declension,Time,139.00
nox noctis f.,night,Noun: 3rd Declension,Lengths of Time,119.00
nūdus -a -um,"naked, bare",Adjective: 1st and 2nd Declension,The Body,545.00
nūllus -a -um,"not any, no one",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,49.00
num,interrogative particle implying negative answer,Adverb,Pronouns/Interrogatives,924.00
nūmen -inis n.,"divine will, deity",Noun: 3rd Declension,Religion,452.00
numerus -ī m.,"number, amount",Noun: 2nd Declension,Measurement,338.00
numquam,never,Adverb,Time,251.00
nunc,now,Adverb,Time,50.00
nūntius -ī m.,messenger; news,Noun: 2nd Declension,Travel,919.00
ob,"against, on account of (+acc)",Preposition,Place,449.00
occīdō -cīdere -cīdī -cīsum,"kill, cut down",Verb: 3rd Conjugation -ō,Violence,801.00
occupō -āre,"seize, occupy; anticipate, do a thing first (+ infin.)",Verb: 1st Conjugation,War and Peace,472.00
occurrō -currere -cucurrī -cursum,run to meet; come into one’s mind,Verb: 3rd Conjugation -ō,Education/Knowledge,677.00
oculus -ī m.,eye,Noun: 2nd Declension,The Body,206.00
ōdī ōdisse,hate,Verb: Irregular,Emotions,790.00
odium -ī n.,hatred,Noun: 2nd Declension,Emotions,522.00
offerō offerre obtulī oblātum,"present, offer, expose",Verb: Irregular,Verbs of Transport,812.00
officium -ī n.,"service, duty",Noun: 2nd Declension,The City,607.00
ōlim,"formerly, at that time",Adverb,Time,574.00
omnis -e,"all, every, as a whole",Adjective: 3rd Declension,Measurement,18.00
onus oneris n.,"load, burden",Noun: 3rd Declension,Measurement,842.00
opera -ae f.,"labor, activity, work",Noun: 1st Declension,Business/Money,843.00
oportet -ēre -uit,"it is proper, right (+ acc. + infin.)",Verb: Impersonal,Social Life,806.00
oppidum -ī n.,town,Noun: 2nd Declension,The City,635.00
ops opis f.,"assistance, resources",Noun: 3rd Declension,Business/Money,318.00
optō -āre,"choose, select",Verb: 1st Conjugation,Personality Traits/Characteristics,417.00
opus operis n.,work,Noun: 3rd Declension,Business/Money,332.00
ōrātiō -ōnis f.,"speech, address",Noun: 3rd Declension,Speech/Oratory,736.00
orbis -is m.,circle; orbis terrārum: world,Noun: 3rd Declension,Geography,322.00
ōrdō -īnis m.,"order, rank",Noun: 3rd Declension,War and Peace,416.00
orior orīrī ortus sum,"arise, begin",Verb: Deponent,Time,642.00
ōrō -āre,pray,Verb: 1st Conjugation,Religion,755.00
ōs ōris n.,"mouth, face",Noun: 3rd Declension,The Body,147.00
os ossis n.,bone,Noun: 3rd Declension,The Body,696.00
ostendō ostendere ostendī ostentum,"show, hold out",Verb: 3rd Conjugation -ō,Other Senses,371.00
ōtium -ī n.,leisure,Noun: 2nd Declension,Social Life,715.00
paene,almost,Adverb,Conjunctions/Adverbs,944.00
pār paris,equal,Adjective: 3rd Declension,Measurement,281.00
parcō parcere pepercī parsum,"spare, be sparing of (+ dat.)",Verb: 3rd Conjugation -ō,War and Peace,412.00
parēns -ntis m./f.,parent,Noun: 3rd Declension,The Household,190.00
pāreō pārēre pāruī,obey,Verb: 2nd Conjugation,Verbs of Compelling/Directing,847.00
pariō parere peperī partum,"bring forth, give birth to; accomplish",Verb: 3rd Conjugation -iō,Life and Being,829.00
parō -āre,"prepare, acquire; parātus -a -um, ready",Verb: 1st Conjugation,Making/Doing,160.00
pars partis f.,part,Noun: 3rd Declension,Measurement,65.00
parum,too little,Adverb,Measurement,204.00
parvus -a -um,small,Adjective: 1st and 2nd Declension,Measurement,143.00
pateō patēre patuī,"lie open, extend; be evident or obvious",Verb: 2nd Conjugation,Geography,550.00
pater patris m.,"father, ancestor",Noun: 3rd Declension,The Household,71.00
patior patī passus sum,"permit, endure",Verb: Deponent,Verbs of Compelling/Directing,185.00
patria -ae f.,"fatherland, country",Noun: 1st Declension,Geography,342.00
paucī -ae -a,"few, a few",Adjective: 1st and 2nd Declension,Measurement,858.00
"paulō, paulum","to only a small extent, slightly, a little",Adverb,Measurement,872.00
pauper -eris,"poor, lowly",Adjective: 3rd Declension,Business/Money,844.00
pāx pācis f.,peace,Noun: 3rd Declension,War and Peace,388.00
peccō -āre,"commit a wrong, injure",Verb: 1st Conjugation,Justice,792.00
pectus -oris n.,"chest, breast",Noun: 3rd Declension,The Body,183.00
pecūnia -ae f.,money,Noun: 1st Declension,Business/Money,530.00
pecus -oris n.,"cattle, sheep",Noun: 3rd Declension,Animals/Plants,566.00
pellō pellere pepulī pulsum,"strike, beat, push, drive",Verb: 3rd Conjugation -ō,Violence,563.00
pendō pendere pependī pēnsum,"weigh, hang, suspend; pay",Verb: 3rd Conjugation -ō,Business/Money,988.00
per,through (+acc.),Preposition,Place,30.00
perdō -dere -didī -ditum,destroy,Verb: 3rd Conjugation -ō,Violence,488.00
pereō -īre -iī -itum,"perish, be lost",Verb: Irregular,Violence,268.00
pergō pergere perrēxī perrēctum,"continue, proceed; awaken",Verb: 3rd Conjugation -ō,Motion,821.00
perīculum -ī n.,danger,Noun: 2nd Declension,Violence,265.00
permittō -mittere -mīsī -missum,"yield, allow, permit",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,702.00
perpetuus -a -um,"unbroken, perpetual",Adjective: 1st and 2nd Declension,Lengths of Time,891.00
pertineō -tinēre -tinuī,"extend over, reach; refer to, pertain to, be the business of",Verb: 2nd Conjugation,Education/Knowledge,866.00
perveniō -venīre -vēnī -ventum,"arrive, reach",Verb: 4th Conjugation,Travel,409.00
pēs pedis m.,foot,Noun: 3rd Declension,The Body,199.00
petō petere petīvī petītum,"seek, aim at",Verb: 3rd Conjugation -ō,Motion,83.00
pietās -tātis f.,"sense of duty, devotion, esp. between parents and children",Noun: 3rd Declension,The Household,767.00
pius -a -um,"dutiful, devoted, just, pious",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,748.00
placeō placēre placuī placitum,please,Verb: 2nd Conjugation,Social Life,287.00
plēbs plēbis f.,the common people,Noun: 3rd Declension,The City,649.00
plēnus -a -um,full,Adjective: 1st and 2nd Declension,Measurement,459.00
plērumque,generally,Adverb,Measurement,974.00
plērus- plēra- plērumque,"the greater part, very many, most, the majority",Adjective: 1st and 2nd Declension,Measurement,968.00
poena -ae f.,"penalty, punishment",Noun: 1st Declension,Justice,223.00
poēta -ae m.,poet,Noun: 1st Declension,Writing/Poetry,913.00
pondus ponderis n.,weight,Noun: 3rd Declension,Measurement,636.00
pōnō pōnere posuī positum,"put, place; put aside",Verb: 3rd Conjugation -ō,Verbs of Transport,102.00
pontus -ī m.,"the open sea, the deep",Noun: 2nd Declension,Earth and Water,630.00
populus -ī m.,people,Noun: 2nd Declension,The City,122.00
porta -ae f.,gate,Noun: 1st Declension,The City,759.00
portō -āre,carry a load,Verb: 1st Conjugation,Measurement,853.00
pōscō pōscere popōscī,"demand, claim; inquire into",Verb: 3rd Conjugation -ō,Speech/Oratory,487.00
possum posse potuī,be able,Verb: Irregular,Making/Doing,23.00
post,after (adv. and prep. +acc.),Preposition,Time,164.00
posteā,afterwards,Adverb,Time,964.00
posterus -a -um,"next, later",Adjective: 1st and 2nd Declension,Time,877.00
postquam,after,Conjunction,Time,384.00
potēns potentis,"able, powerful",Adjective: 3rd Declension,Personality Traits/Characteristics,567.00
potestās -ātis f.,power,Noun: 3rd Declension,The City,737.00
potis -e,"powerful, able",Adjective: 3rd Declension,Personality Traits/Characteristics,947.00
praebeō -ēre -uī -itum,"furnish, supply, render",Verb: 2nd Conjugation,Verbs of Transport,584.00
praeceptum -ī n.,"rule, precept; command",Noun: 2nd Declension,Justice,825.00
praecipiō -cipere -cēpī -ceptum,"anticipate, advise, warn",Verb: 3rd Conjugation -iō,Speech/Oratory,945.00
praeda -ae f.,"booty, prey",Noun: 1st Declension,War and Peace,626.00
praemium -ī n.,"bounty, reward",Noun: 2nd Declension,Business/Money,680.00
